Rank,Name,ELO,Title,FIDE_Id,Federation,Games,Birth_Year
97,Boris Grachev,2658,GM,4129199, Russian Federation,1410,1986
98,Igor Kovalenko,2657,GM,14117908, Latvia,806,1988
99,Ray Robson,2656,GM,2023970, United States,545,1994
100,Ferenc Berkes,2654,GM,718572, Hungary,1344,1985
101,Julio E Granda Zuniga,2654,GM,3800024, Peru,1502,1967
102,Gawain C Jones,2654,GM,409561, United Kingdom,1102,1987
103,Sanan Sjugirov,2654,GM,4189302, Russian Federation,916,1993
104,Surya Shekhar Ganguly,2653,GM,5002150, India,1379,1983
105,Martyn Kravtsiv,2653,GM,14113147, Ukraine,853,1990
106,Lazaro Bruzon Batista,2652,GM,3503739, Cuba,1357,1982
107,Hou Yifan,2652,GM,8602980, China,1073,1994
108,Jeffery Xiong,2652,GM,2047640, United States,271,0
109,Aleksey Dreev,2651,GM,4100107, Russian Federation,2870,1969
110,Denis Khismatullin,2651,GM,4142578, Russian Federation,1261,1984
111,Gabriel Sargissian,2650,GM,13300881, Armenia,1253,1983
112,Dariusz Swiercz,2649,GM,1126881, Poland,868,1994
113,Andrei Volokitin,2649,GM,14107090, Ukraine,1365,1986
114,Zahar Efimenko,2648,GM,14107201, Ukraine,1347,1985
115,Sandro Mareco,2648,GM,112275, Argentina,703,1987
116,Daniel Naroditsky,2647,GM,2026961, United States,408,1995
117,Axel Bachmann,2646,GM,3700488, Paraguay,527,1989
118,Emil Sutovsky,2646,GM,2802007, Israel,1612,1977
119,Emilio Cordova,2645,GM,3801497, Peru,744,1991
120,Gadir Guseinov,2645,GM,13401378, Azerbaijan,882,1986
121,Luke J McShane,2644,GM,404853, United Kingdom,1276,1984
122,Anton Kovalyov,2643,GM,114987, Canada,476,1992
123,Igor Lysyj,2643,GM,4150120, Russian Federation,939,1987
124,Sergei Zhigalko,2643,GM,13502956, Belarus,1181,1989
125,Aleksandr Shimanov,2642,GM,4198603, Russian Federation,833,1992
126,Kiril Georgiev,2641,GM,2900017, Bulgaria,2371,1965
127,Luka Lenic,2641,GM,14603853, Slovenia,1006,1988
128,Dragan Solak,2641,GM,916811, Turkey,1250,1980
129,Victor Bologan,2640,GM,13900048, Moldova,2421,1971
130,Romain Edouard,2640,GM,633429, France,1135,1990
131,Dmitry Kokarev,2640,GM,4132181, Russian Federation,789,1982
132,Tamir Nabaty,2640,GM,2809052, Israel,377,1991
133,Peter Heine Nielsen,2639,GM,1400355, Denmark,1874,1973
134,Ivan Ivanisevic,2638,GM,912417, Serbia,1529,1977
135,Ioannis Papaioannou,2638,GM,4201345, Greece,639,1976
136,Kacper Piorun,2638,GM,1130420, Poland,601,1991
137,Robin Van Kampen,2638,GM,1020854, Netherlands,498,1994
138,Mateusz Bartel,2637,GM,1112635, Poland,1557,1985
139,Jan Gustafsson,2637,GM,4625498, Germany,1422,1979
140,Yuriy Kuzubov,2637,GM,14112906, Ukraine,952,1990
141,Qun Ma,2637,GM,8603154, China,228,1991
142,Andriy Vovk,2637,GM,14114470, Ukraine,414,1991
143,Csaba Balogh,2636,GM,718939, Hungary,1662,1987
144,Mykhaylo Oleksiyenko,2636,GM,4152417, Ukraine,690,1986
